X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,JURISDIC,L_SRC,SOURCE,L_DATE
270196.994199999,853828.240899999,274,PLYMOUTH COUNTY SHERIFF,26 LONG POND ROAD,PLYMOUTH,MA,02360,COUNTY,MASSGIS,MASSGIS,2007/02/13 00:00:00+00
282008.444200002,793958.570900001,275,DUKES COUNTY SHERIFF,149 MAIN STREET,EDGARTOWN,MA,02539,COUNTY,MASSGIS,MASSGIS,2007/02/13 00:00:00+00
246287.184199996,956321.220899999,276,AMESBURY POLICE DEPARTMENT,19 SCHOOL STREET,AMESBURY,MA,01913,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
229312.184199996,934232.790899999,277,ANDOVER POLICE DEPARTMENT,32 NORTH MAIN STREET,ANDOVER,MA,01810,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
239844.9542,938172.790899999,278,BOXFORD POLICE DEPARTMENT,285 IPSWICH ROAD,BOXFORD,MA,01921,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
225262.396200001,942250.132100001,279,METHUEN POLICE DEPARTMENT,90 HAMPSHIRE STREET,METHUEN,MA,01844,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
252357.264200002,949941.560899999,280,NEWBURY POLICE DEPARTMENT,7 MORGAN AVENUE,NEWBURY,MA,01951,LOCAL,MASSGIS,MASSGIS,2022/05/13 00:00:00+00
251341.177299999,951416.362300001,281,NEWBURYPORT POLICE DEPARTMENT,4 GREEN STREET,NEWBURYPORT,MA,01950,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
231290.624200001,938004.190900002,282,NORTH ANDOVER POLICE DEPARTMENT,1475 OSGOOD STREET,NORTH ANDOVER,MA,01845,LOCAL,MAPC,MEMA,2014/03/01 00:00:00+00
247823.0942,939692.970899999,283,ROWLEY POLICE DEPARTMENT,477 HAVERHILL STREET,ROWLEY,MA,01969,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
254784.243500002,954736.249699999,284,SALISBURY POLICE DEPARTMENT,181 BEACH ROAD,SALISBURY,MA,01952,LOCAL,MASSGIS,MASSGIS,2022/05/17 00:00:00+00
247193.5255,948086.136,285,"STATE POLICE STATION A-2, NEWBURY",200 SCOTLAND ROAD,NEWBURY,MA,01951,STATE,MAPC,MEMA,2006/09/12 00:00:00+00
241892.9542,950187.300900001,286,WEST NEWBURY POLICE DEPARTMENT,403 MAIN STREET,WEST NEWBURY,MA,01985,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
210868.264200002,929970.800900001,287,CHELMSFORD POLICE DEPARTMENT,2 OLD NORTH ROAD,CHELMSFORD,MA,01824,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
217179.2817,935795.956,288,DRACUT POLICE DEPARTMENT,110 LOONHILL ROAD,DRACUT,MA,01826,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
215273.434199996,932965.650899999,289,LOWELL POLICE DEPARTMENT,50 ARCAND DRIVE,LOWELL,MA,01852,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
218720.734200001,923546.650899999,290,BILLERICA POLICE DEPARTMENT,6 GOOD STREET,BILLERICA,MA,01821,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
221665.924199998,929232.190900002,291,TEWKSBURY POLICE DEPARTMENT,918 MAIN STREET,TEWKSBURY,MA,01876,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
205169.864200003,925672.9109,292,WESTFORD POLICE DEPARTMENT,53 MAIN STREET,WESTFORD,MA,01886,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
173580.5942,936506.260899998,293,ASHBY POLICE DEPARTMENT,893 MAIN STREET,ASHBY,MA,01431,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
191042.934199996,921863.0909,294,"STATE POLICE STATION C-9, DEVENS",59 BUENA VISTA STREET,AYER,MA,01434,STATE,MAPC,MEMA,2006/09/12 00:00:00+00
188424.384199999,921608.0009,295,SHIRLEY POLICE DEPARTMENT,11 KEADY WAY,SHIRLEY,MA,01464,LOCAL,MRPC,MEMA,2006/09/12 00:00:00+00
183600.894199997,936227.260899998,296,TOWNSEND POLICE DEPTARTMENT,70 BROOKLINE STREET,TOWNSEND,MA,01469,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
95582.6269999966,895707.7982,297,WESTHAMPTON POLICE DEPARTMENT,48 STAGE ROAD,WESTHAMPTON,MA,01027,LOCAL,BRPC,MEMA2003,2014/03/01 00:00:00+00
148668.2742,896505.760899998,298,NEW BRAINTREE POLICE DEPARTMENT,20 MEMORIAL DRIVE,NEW BRAINTREE,MA,01531,LOCAL,MEMA,MEMA,2007/01/03 00:00:00+00
72307.0922000036,926502.830400001,299,SAVOY POLICE DEPARTMENT,1 STURTEVANT ROAD,SAVOY,MA,02156,LOCAL,MEMA,MEMA,2007/01/03 00:00:00+00
